hshd_num,basket_num,date,product_num,spend,units,age,income,children,loyalty,department,commodity,brand
313,68830,2019-01-03 04:00:00,1056,89.6,1,51,82224,3,Yes,Beverages,Organic,Private
218,14019,2019-01-03 05:00:00,1038,19.35,2,41,112637,2,No,Dairy,Regular,Private
241,22419,2019-01-03 06:00:00,1006,4.88,2,31,51689,2,No,Dairy,Regular,National
259,43697,2019-01-03 07:00:00,1068,16.68,3,50,107052,1,No,Dairy,Regular,National
376,94932,2019-01-03 08:00:00,1007,19.88,1,25,63307,2,No,Grocery,Organic,National
262,17973,2019-01-03 09:00:00,1095,51.34,2,36,51677,0,Yes,Dairy,Regular,National
5,96649,2019-01-03 10:00:00,1017,45.54,4,32,96412,1,Yes,Grocery,Organic,Private
261,21136,2019-01-03 11:00:00,1081,71.87,4,25,31542,0,Yes,Grocery,Regular,National
54,94739,2019-01-03 12:00:00,1048,6.04,1,59,59375,0,No,Snacks,Organic,Private
47,72502,2019-01-03 13:00:00,1015,50.27,3,50,75543,0,No,Beverages,Regular,Private
215,41285,2019-01-03 14:00:00,1020,33.91,2,56,99896,0,Yes,Beverages,Regular,Private
177,33039,2019-01-03 15:00:00,1009,63.44,2,37,113042,2,No,Grocery,Regular,Private
9,76720,2019-01-03 16:00:00,1003,5.33,2,47,99678,2,Yes,Grocery,Organic,National
99,98263,2019-01-03 17:00:00,1043,4.46,1,35,130793,1,No,Dairy,Organic,National
20,69155,2019-01-03 18:00:00,1007,43.3,4,68,121794,1,No,Grocery,Organic,National
378,26911,2019-01-03 19:00:00,1054,81.32,3,40,133268,0,Yes,Grocery,Organic,National
241,10916,2019-01-03 20:00:00,1018,67.44,1,31,51689,2,No,Dairy,Organic,Private
61,69052,2019-01-03 21:00:00,1063,2.65,1,30,148937,0,No,Dairy,Regular,Private
379,79110,2019-01-03 22:00:00,1039,18.67,2,38,34835,2,Yes,Dairy,Organic,National
178,27790,2019-01-03 23:00:00,1050,23.45,4,65,115999,0,Yes,Snacks,Organic,National
338,93161,2019-01-04 00:00:00,1008,42.88,3,57,106539,2,Yes,Dairy,Regular,Private
62,15206,2019-01-04 01:00:00,1029,59.08,3,66,97215,3,Yes,Grocery,Organic,Private
145,95053,2019-01-04 02:00:00,1055,22.43,2,28,123008,0,Yes,Dairy,Organic,Private
216,59950,2019-01-04 03:00:00,1080,38.87,3,28,65270,3,Yes,Grocery,Regular,Private
3,66361,2019-01-04 04:00:00,1043,58.81,4,39,117235,3,No,Dairy,Organic,National
160,71451,2019-01-04 05:00:00,1058,38.96,2,26,68513,3,No,Dairy,Organic,Private
227,47696,2019-01-04 06:00:00,1014,15.17,2,57,132795,1,Yes,Dairy,Organic,National
269,91641,2019-01-04 07:00:00,1067,49.67,4,43,49065,0,No,Grocery,Organic,Private
120,78226,2019-01-04 08:00:00,1069,33.08,3,68,41938,0,Yes,Dairy,Organic,National
381,56728,2019-01-04 09:00:00,1060,86.55,4,47,134346,0,Yes,Grocery,Regular,Private
89,65401,2019-01-04 10:00:00,1079,77.79,3,69,134185,0,Yes,Grocery,Regular,Private
329,76226,2019-01-04 11:00:00,1089,19.84,3,53,66395,3,No,Dairy,Organic,Private
68,35103,2019-01-04 12:00:00,1022,16.11,3,58,91389,1,Yes,Dairy,Organic,National
398,44263,2019-01-04 13:00:00,1076,35.42,4,32,100340,0,Yes,Beverages,Organic,National
357,86621,2019-01-04 14:00:00,1046,41.81,4,26,54504,1,No,Grocery,Organic,National
98,60044,2019-01-04 15:00:00,1016,93.27,1,48,140226,1,Yes,Beverages,Regular,National
267,67730,2019-01-04 16:00:00,1056,30.86,4,65,123105,3,Yes,Beverages,Organic,Private
105,35825,2019-01-04 17:00:00,1053,86.89,2,29,34611,3,Yes,Beverages,Organic,Private
323,86256,2019-01-04 18:00:00,1090,51.03,2,28,63591,2,No,Dairy,Regular,National
123,47271,2019-01-04 19:00:00,1051,88.68,2,51,34000,3,No,Dairy,Regular,National
29,87256,2019-01-04 20:00:00,1021,70.49,2,49,120852,1,No,Snacks,Regular,Private
137,56732,2019-01-04 21:00:00,1082,71.13,1,39,116027,3,Yes,Snacks,Regular,National
195,76433,2019-01-04 22:00:00,1038,52.36,4,36,98450,1,Yes,Dairy,Regular,Private
226,92630,2019-01-04 23:00:00,1098,84.19,4,40,116900,1,No,Snacks,Organic,National
332,33572,2019-01-05 00:00:00,1012,26.19,3,65,64620,1,Yes,Beverages,Organic,Private
170,48546,2019-01-05 01:00:00,1077,90.83,4,35,74425,2,Yes,Dairy,Organic,Private
9,25150,2019-01-05 02:00:00,1094,64.04,3,47,99678,2,Yes,Beverages,Organic,Private
40,64165,2019-01-05 03:00:00,1065,44.43,3,33,124841,0,Yes,Beverages,Regular,Private
25,73690,2019-01-05 04:00:00,1051,98.24,2,57,58251,2,No,Dairy,Regular,National
261,63664,2019-01-05 05:00:00,1013,86.34,1,25,31542,0,Yes,Dairy,Regular,National
395,92335,2019-01-05 06:00:00,1072,77.43,1,67,35713,0,No,Grocery,Organic,Private
226,85199,2019-01-05 07:00:00,1073,28.12,4,40,116900,1,No,Snacks,Organic,Private
124,46948,2019-01-05 08:00:00,1062,97.4,3,59,100588,1,No,Grocery,Regular,Private
38,47030,2019-01-05 09:00:00,1070,74.56,2,31,146352,3,Yes,Grocery,Organic,National
328,37007,2019-01-05 10:00:00,1027,60.92,3,54,97641,0,Yes,Dairy,Organic,Private
251,86772,2019-01-05 11:00:00,1088,92.26,2,49,36801,2,No,Beverages,Organic,National
389,32024,2019-01-05 12:00:00,1045,17.06,3,49,127007,3,No,Grocery,Regular,Private
176,49384,2019-01-05 13:00:00,1027,14.76,4,51,144352,2,Yes,Dairy,Organic,Private
90,92912,2019-01-05 14:00:00,1001,56.81,4,25,53049,0,Yes,Beverages,Organic,Private
37,28157,2019-01-05 15:00:00,1016,6.61,3,61,104740,1,No,Beverages,Regular,National
316,95481,2019-01-05 16:00:00,1058,66.73,1,45,110219,1,Yes,Dairy,Organic,Private
176,98553,2019-01-05 17:00:00,1051,24.83,2,51,144352,2,Yes,Dairy,Regular,National
284,11756,2019-01-05 18:00:00,1003,12.78,1,59,31324,2,No,Grocery,Organic,National
81,78112,2019-01-05 19:00:00,1076,41.54,1,42,65247,3,No,Beverages,Organic,National
114,68051,2019-01-05 20:00:00,1081,47.13,3,58,118223,2,No,Grocery,Regular,National
40,74595,2019-01-05 21:00:00,1002,17.88,2,33,124841,0,Yes,Grocery,Regular,Private
301,88210,2019-01-05 22:00:00,1036,5.11,2,31,116188,0,Yes,Snacks,Organic,National
224,53094,2019-01-05 23:00:00,1096,41.99,4,46,35486,3,Yes,Snacks,Organic,Private
318,97889,2019-01-06 00:00:00,1023,76.19,3,57,96040,1,Yes,Snacks,Regular,National
349,14535,2019-01-06 01:00:00,1071,87.55,3,64,82638,2,Yes,Snacks,Organic,National
115,66035,2019-01-06 02:00:00,1034,10.66,3,57,90890,2,Yes,Grocery,Regular,National
186,57367,2019-01-06 03:00:00,1001,52.94,4,57,37357,1,Yes,Beverages,Organic,Private
323,27118,2019-01-06 04:00:00,1032,27.08,4,28,63591,2,No,Beverages,Organic,Private
56,69812,2019-01-06 05:00:00,1075,38.09,2,41,46964,0,No,Snacks,Organic,National
40,69884,2019-01-06 06:00:00,1085,93.41,4,33,124841,0,Yes,Grocery,Organic,Private
354,76168,2019-01-06 07:00:00,1076,35.86,3,26,98866,0,No,Beverages,Organic,National
40,23280,2019-01-06 08:00:00,1009,37.17,3,33,124841,0,Yes,Grocery,Regular,Private
347,24746,2019-01-06 09:00:00,1080,21.73,1,55,82528,0,Yes,Grocery,Regular,Private
237,63251,2019-01-06 10:00:00,1061,96.04,4,27,31062,3,Yes,Grocery,Organic,National
289,94821,2019-01-06 11:00:00,1042,46.19,3,26,64578,2,Yes,Beverages,Organic,Private
262,93583,2019-01-06 12:00:00,1068,57.47,3,36,51677,0,Yes,Dairy,Regular,National
216,20207,2019-01-06 13:00:00,1058,45.86,2,28,65270,3,Yes,Dairy,Organic,Private
147,81127,2019-01-06 14:00:00,1008,26.04,4,61,55351,2,Yes,Dairy,Regular,Private
336,37757,2019-01-06 15:00:00,1076,81.23,3,55,123396,2,Yes,Beverages,Organic,National
168,26226,2019-01-06 16:00:00,1059,3.82,2,44,119084,3,No,Dairy,Regular,National
92,71407,2019-01-06 17:00:00,1062,69.33,1,31,128116,2,Yes,Grocery,Regular,Private
353,37206,2019-01-06 18:00:00,1051,59.83,1,47,136357,2,Yes,Dairy,Regular,National
59,30256,2019-01-06 19:00:00,1022,15.28,2,28,103666,2,Yes,Dairy,Organic,National
59,43822,2019-01-06 20:00:00,1029,17.42,4,28,103666,2,Yes,Grocery,Organic,Private
304,51340,2019-01-06 21:00:00,1042,66.26,3,57,39435,0,No,Beverages,Organic,Private
169,62234,2019-01-06 22:00:00,1067,31.9,4,54,122920,2,No,Grocery,Organic,Private
269,53351,2019-01-06 23:00:00,1020,27.31,2,43,49065,0,No,Beverages,Regular,Private
363,58671,2019-01-07 00:00:00,1042,6.86,3,67,51447,0,Yes,Beverages,Organic,Private
45,85320,2019-01-07 01:00:00,1072,76.88,3,38,145247,0,No,Grocery,Organic,Private
345,45157,2019-01-07 02:00:00,1006,88.38,3,49,101726,2,No,Dairy,Regular,National
181,29937,2019-01-07 03:00:00,1015,82.16,4,30,100640,3,No,Beverages,Regular,Private
170,64290,2019-01-07 04:00:00,1022,47.14,4,35,74425,2,Yes,Dairy,Organic,National
356,56707,2019-01-07 05:00:00,1057,53.86,2,66,71430,0,Yes,Grocery,Regular,National
191,21219,2019-01-07 06:00:00,1086,24.99,1,56,50150,1,No,Dairy,Organic,Private
155,19399,2019-01-07 07:00:00,1030,18.11,2,37,137112,2,Yes,Dairy,Organic,National
188,37657,2019-01-07 08:00:00,1068,82.48,3,68,91476,0,Yes,Dairy,Regular,National
7,30047,2019-01-07 09:00:00,1005,80.04,2,63,86179,0,No,Beverages,Organic,National
133,86095,2019-01-07 10:00:00,1064,77.96,1,38,112986,3,No,Dairy,Regular,National
235,95693,2019-01-07 11:00:00,1058,46.87,2,43,96703,1,No,Dairy,Organic,Private
45,82154,2019-01-07 12:00:00,1027,86.59,1,38,145247,0,No,Dairy,Organic,Private
314,54891,2019-01-07 13:00:00,1017,92.7,1,51,69298,1,No,Grocery,Organic,Private
249,16780,2019-01-07 14:00:00,1087,33.51,3,35,132634,1,No,Grocery,Organic,National
31,37050,2019-01-07 15:00:00,1076,23.24,1,66,38308,2,No,Beverages,Organic,National
23,83551,2019-01-07 16:00:00,1096,46.96,4,26,112750,1,Yes,Snacks,Organic,Private
394,78666,2019-01-07 17:00:00,1009,18.75,2,39,75445,3,Yes,Grocery,Regular,Private
160,92016,2019-01-07 18:00:00,1006,88.52,2,26,68513,3,No,Dairy,Regular,National
363,63010,2019-01-07 19:00:00,1036,34.46,4,67,51447,0,Yes,Snacks,Organic,National
158,48165,2019-01-07 20:00:00,1095,58.04,4,46,112745,2,Yes,Dairy,Regular,National
39,21528,2019-01-07 21:00:00,1044,59.88,3,45,96617,0,Yes,Dairy,Organic,National
82,59608,2019-01-07 22:00:00,1085,51.98,2,48,124758,0,Yes,Grocery,Organic,Private
356,15914,2019-01-07 23:00:00,1015,16.5,4,66,71430,0,Yes,Beverages,Regular,Private
258,47136,2019-01-08 00:00:00,1087,99.11,3,40,102592,3,No,Grocery,Organic,National
206,21179,2019-01-08 01:00:00,1013,18.09,2,56,96234,3,Yes,Dairy,Regular,National
77,96008,2019-01-08 02:00:00,1010,75.4,2,64,59124,1,Yes,Beverages,Organic,Private
12,22076,2019-01-08 03:00:00,1082,79.34,4,48,102615,1,No,Snacks,Regular,National
295,34783,2019-01-08 04:00:00,1086,15.37,1,28,55289,1,No,Dairy,Organic,Private
224,56716,2019-01-08 05:00:00,1033,93.38,1,46,35486,3,Yes,Dairy,Organic,Private
13,60298,2019-01-08 06:00:00,1059,49.29,4,60,103523,0,No,Dairy,Regular,National
46,64304,2019-01-08 07:00:00,1012,63.26,1,33,50056,2,No,Beverages,Organic,Private
155,89360,2019-01-08 08:00:00,1038,64.58,2,37,137112,2,Yes,Dairy,Regular,Private
113,79835,2019-01-08 09:00:00,1043,50.99,3,36,121007,2,Yes,Dairy,Organic,National
233,18118,2019-01-08 10:00:00,1027,15.06,3,44,148324,0,No,Dairy,Organic,Private
17,86292,2019-01-08 11:00:00,1039,75.42,4,46,47019,0,No,Dairy,Organic,National
360,66911,2019-01-08 12:00:00,1015,58.6,3,64,129657,3,No,Beverages,Regular,Private
223,83489,2019-01-08 13:00:00,1049,12.75,4,30,90921,2,Yes,Grocery,Organic,Private
354,25185,2019-01-08 14:00:00,1027,70.33,1,26,98866,0,No,Dairy,Organic,Private
188,51792,2019-01-08 15:00:00,1067,70.57,2,68,91476,0,Yes,Grocery,Organic,Private
344,90210,2019-01-08 16:00:00,1091,55.3,1,42,144065,1,No,Dairy,Regular,Private
365,60613,2019-01-08 17:00:00,1059,9.96,4,53,53959,0,No,Dairy,Regular,National
163,43927,2019-01-08 18:00:00,1011,35.91,2,30,30412,3,No,Snacks,Organic,National
326,10386,2019-01-08 19:00:00,1015,6.04,2,68,141732,2,Yes,Beverages,Regular,Private
74,82728,2019-01-08 20:00:00,1052,48.28,2,32,125981,1,Yes,Dairy,Regular,Private
233,86281,2019-01-08 21:00:00,1053,90.74,1,44,148324,0,No,Beverages,Organic,Private
224,40020,2019-01-08 22:00:00,1048,1.22,2,46,35486,3,Yes,Snacks,Organic,Private
319,52678,2019-01-08 23:00:00,1035,27.4,1,52,129518,2,No,Grocery,Organic,Private
60,96695,2019-01-09 00:00:00,1061,80.19,1,26,115067,0,Yes,Grocery,Organic,National
335,71394,2019-01-09 01:00:00,1083,1.98,2,53,123045,3,Yes,Dairy,Organic,National
222,78945,2019-01-09 02:00:00,1025,2.01,4,58,84098,2,No,Beverages,Regular,Private
37,66414,2019-01-09 03:00:00,1055,61.47,2,61,104740,1,No,Dairy,Organic,Private
278,64816,2019-01-09 04:00:00,1089,79.13,2,60,113285,1,No,Dairy,Organic,Private
196,65918,2019-01-09 05:00:00,1021,77.87,1,63,51352,1,Yes,Snacks,Regular,Private
352,72694,2019-01-09 06:00:00,1072,78.18,2,46,140133,1,No,Grocery,Organic,Private
242,39455,2019-01-09 07:00:00,1068,36.74,4,65,41174,2,Yes,Dairy,Regular,National
324,48735,2019-01-09 08:00:00,1080,88.39,2,59,112848,2,No,Grocery,Regular,Private
219,22109,2019-01-09 09:00:00,1048,2.27,4,62,81934,0,No,Snacks,Organic,Private
192,55802,2019-01-09 10:00:00,1097,31.91,3,56,101180,1,Yes,Grocery,Regular,National
17,78020,2019-01-09 11:00:00,1001,34.38,3,46,47019,0,No,Beverages,Organic,Private
12,44622,2019-01-09 12:00:00,1052,17.39,3,48,102615,1,No,Dairy,Regular,Private
394,12597,2019-01-09 13:00:00,1006,34.29,2,39,75445,3,Yes,Dairy,Regular,National
374,50597,2019-01-09 14:00:00,1099,59.0,1,69,135787,1,No,Grocery,Organic,National
193,50954,2019-01-09 15:00:00,1076,52.51,4,48,73286,1,No,Beverages,Organic,National
22,79519,2019-01-09 16:00:00,1019,32.62,3,62,103847,0,Yes,Dairy,Regular,Private
120,66115,2019-01-09 17:00:00,1093,75.18,4,68,41938,0,Yes,Dairy,Regular,National
210,53151,2019-01-09 18:00:00,1029,71.76,1,26,46779,3,Yes,Grocery,Organic,Private
306,27040,2019-01-09 19:00:00,1074,28.79,4,46,60355,0,Yes,Dairy,Regular,National
270,54772,2019-01-09 20:00:00,1094,33.0,4,40,113460,0,No,Beverages,Organic,Private
192,73832,2019-01-09 21:00:00,1066,29.46,3,56,101180,1,Yes,Snacks,Organic,National
175,37916,2019-01-09 22:00:00,1058,13.76,4,25,147474,1,No,Dairy,Organic,Private
285,54871,2019-01-09 23:00:00,1065,75.53,3,49,121267,3,Yes,Beverages,Regular,Private
204,36372,2019-01-10 00:00:00,1002,5.58,1,47,80517,1,Yes,Grocery,Regular,Private
164,71707,2019-01-10 01:00:00,1055,15.91,3,52,37543,3,No,Dairy,Organic,Private
251,49080,2019-01-10 02:00:00,1078,11.43,4,49,36801,2,No,Beverages,Organic,Private
227,52722,2019-01-10 03:00:00,1016,82.71,1,57,132795,1,Yes,Beverages,Regular,National
381,39048,2019-01-10 04:00:00,1051,5.36,2,47,134346,0,Yes,Dairy,Regular,National
7,95205,2019-01-10 05:00:00,1006,66.8,2,63,86179,0,No,Dairy,Regular,National
29,19777,2019-01-10 06:00:00,1004,5.4,1,49,120852,1,No,Dairy,Organic,Private
395,64711,2019-01-10 07:00:00,1097,78.86,1,67,35713,0,No,Grocery,Regular,National
33,46331,2019-01-10 08:00:00,1096,91.36,4,40,81990,0,Yes,Snacks,Organic,Private
134,30968,2019-01-10 09:00:00,1053,49.2,2,63,119643,0,Yes,Beverages,Organic,Private
367,63969,2019-01-10 10:00:00,1060,80.65,1,50,149156,2,Yes,Grocery,Regular,Private
79,21292,2019-01-10 11:00:00,1015,70.93,2,40,73919,2,Yes,Beverages,Regular,Private
58,50794,2019-01-10 12:00:00,1066,79.77,2,64,89638,0,No,Snacks,Organic,National
26,89459,2019-01-10 13:00:00,1058,76.91,4,36,133481,0,No,Dairy,Organic,Private
226,60192,2019-01-10 14:00:00,1046,21.33,1,40,116900,1,No,Grocery,Organic,National
285,37703,2019-01-10 15:00:00,1047,50.46,3,49,121267,3,Yes,Dairy,Organic,Private
4,94193,2019-01-10 16:00:00,1063,96.08,1,67,84021,1,No,Dairy,Regular,Private
99,79165,2019-01-10 17:00:00,1049,35.01,2,35,130793,1,No,Grocery,Organic,Private
397,77650,2019-01-10 18:00:00,1084,97.08,3,57,79407,0,No,Grocery,Regular,Private
39,66516,2019-01-10 19:00:00,1040,58.73,3,45,96617,0,Yes,Snacks,Regular,Private
271,32257,2019-01-10 20:00:00,1071,46.7,2,27,118092,3,No,Snacks,Organic,National
375,93509,2019-01-10 21:00:00,1021,66.12,3,44,61921,2,Yes,Snacks,Regular,Private
285,61672,2019-01-10 22:00:00,1053,81.77,3,49,121267,3,Yes,Beverages,Organic,Private
157,73308,2019-01-10 23:00:00,1004,40.03,1,31,33267,2,No,Dairy,Organic,Private
75,87583,2019-01-11 00:00:00,1016,4.26,2,38,108781,1,No,Beverages,Regular,National
372,32113,2019-01-11 01:00:00,1077,71.17,4,31,132023,1,Yes,Dairy,Organic,Private
288,10694,2019-01-11 02:00:00,1040,95.66,3,42,49870,3,No,Snacks,Regular,Private
130,25588,2019-01-11 03:00:00,1091,62.87,2,25,68304,0,Yes,Dairy,Regular,Private
175,71756,2019-01-11 04:00:00,1094,19.65,1,25,147474,1,No,Beverages,Organic,Private
84,74085,2019-01-11 05:00:00,1080,25.58,1,49,92752,3,Yes,Grocery,Regular,Private
22,71142,2019-01-11 06:00:00,1034,91.07,1,62,103847,0,Yes,Grocery,Regular,National
27,74373,2019-01-11 07:00:00,1039,2.34,3,46,142566,0,No,Dairy,Organic,National
195,95603,2019-01-11 08:00:00,1021,55.33,4,36,98450,1,Yes,Snacks,Regular,Private
337,16704,2019-01-11 09:00:00,1047,16.71,1,59,91642,3,Yes,Dairy,Organic,Private
382,50136,2019-01-11 10:00:00,1052,28.99,4,39,77605,1,No,Dairy,Regular,Private
236,77507,2019-01-11 11:00:00,1092,31.39,2,50,57192,2,Yes,Beverages,Regular,Private
92,57361,2019-01-11 12:00:00,1009,22.71,1,31,128116,2,Yes,Grocery,Regular,Private
21,68847,2019-01-11 13:00:00,1017,79.44,3,54,116672,2,No,Grocery,Organic,Private
303,21441,2019-01-11 14:00:00,1098,33.89,1,41,116769,0,No,Snacks,Organic,National
357,24677,2019-01-11 15:00:00,1079,35.2,3,26,54504,1,No,Grocery,Regular,Private
84,37818,2019-01-11 16:00:00,1048,45.85,2,49,92752,3,Yes,Snacks,Organic,Private
262,11868,2019-01-11 17:00:00,1070,90.33,4,36,51677,0,Yes,Grocery,Organic,National
147,93591,2019-01-11 18:00:00,1029,69.13,4,61,55351,2,Yes,Grocery,Organic,Private
387,77264,2019-01-11 19:00:00,1018,7.11,4,47,87043,2,No,Dairy,Organic,Private
257,83168,2019-01-11 20:00:00,1054,4.89,1,31,130843,0,No,Grocery,Organic,National
58,22043,2019-01-11 21:00:00,1059,57.07,1,64,89638,0,No,Dairy,Regular,National
380,81939,2019-01-11 22:00:00,1086,88.82,2,36,50159,2,Yes,Dairy,Organic,Private
15,25732,2019-01-11 23:00:00,1071,33.0,4,48,124476,3,No,Snacks,Organic,National
162,65244,2019-01-12 00:00:00,1080,25.53,2,69,41338,3,No,Grocery,Regular,Private
163,28526,2019-01-12 01:00:00,1020,75.07,3,30,30412,3,No,Beverages,Regular,Private
320,19340,2019-01-12 02:00:00,1025,60.61,1,57,129835,3,No,Beverages,Regular,Private
281,32394,2019-01-12 03:00:00,1027,56.94,4,44,87854,2,Yes,Dairy,Organic,Private
280,14102,2019-01-12 04:00:00,1038,15.78,1,64,121792,3,No,Dairy,Regular,Private
12,29159,2019-01-12 05:00:00,1032,18.42,4,48,102615,1,No,Beverages,Organic,Private
274,75092,2019-01-12 06:00:00,1039,28.9,4,57,58295,1,No,Dairy,Organic,National
271,16212,2019-01-12 07:00:00,1082,21.48,1,27,118092,3,No,Snacks,Regular,National
208,47405,2019-01-12 08:00:00,1028,97.17,1,25,77280,2,No,Snacks,Regular,National
27,87061,2019-01-12 09:00:00,1019,2.84,2,46,142566,0,No,Dairy,Regular,Private
72,65186,2019-01-12 10:00:00,1019,62.98,1,55,108832,2,No,Dairy,Regular,Private
60,54239,2019-01-12 11:00:00,1073,52.24,1,26,115067,0,Yes,Snacks,Organic,Private
145,20532,2019-01-12 12:00:00,1011,33.0,1,28,123008,0,Yes,Snacks,Organic,National
93,89054,2019-01-12 13:00:00,1096,88.87,3,33,127379,2,No,Snacks,Organic,Private
309,82012,2019-01-12 14:00:00,1024,67.35,3,62,43116,1,No,Beverages,Organic,National
8,95279,2019-01-12 15:00:00,1024,99.84,3,43,62093,0,Yes,Beverages,Organic,National
79,76540,2019-01-12 16:00:00,1003,17.7,2,40,73919,2,Yes,Grocery,Organic,National
27,13271,2019-01-12 17:00:00,1003,9.7,2,46,142566,0,No,Grocery,Organic,National
174,55482,2019-01-12 18:00:00,1008,14.8,4,57,77295,0,No,Dairy,Regular,Private
50,10209,2019-01-12 19:00:00,1014,27.66,2,52,141488,1,No,Dairy,Organic,National
199,15539,2019-01-12 20:00:00,1025,42.26,1,61,140448,0,Yes,Beverages,Regular,Private
387,29977,2019-01-12 21:00:00,1078,86.4,4,47,87043,2,No,Beverages,Organic,Private
